OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
18,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"No. 638, Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",香港科技專上書院,九龍長沙灣道638號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822164.7000000001,833761.8,22.33854944,114.15254595,2026-01-21T15:33:17,833761.7999999998,822164.6999999993
19,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"Shop 605, 6/F., Jubilee Square, 2-18 Lok King Street, Shatin, New Territories",香港科技專上書院,新界沙田樂景街2-18號銀禧薈6樓605室,,,,,,,,,,,828570,838624,22.39639266,114.19975421,2026-01-21T15:32:52,838624,828570
20,Higher Education Institutions,高等教育院校,Hong Kong Institute of Information Technology at Hong Kong Institute of Vocational Education (Chai Wan),"30 Shing Tai Road, Chai Wan",香港資訊科技學院位於香港專業教育學院(柴灣)校舍,柴灣盛泰道30號,,,,,,,,,,,814765.2814617,842770.13433489,22.27171743,114.23996244,2026-01-21T15:32:06,842770.1343,814765.2815000005
21,Higher Education Institutions,高等教育院校,Hong Kong Institute of Information Technology,"20A, Tsing Yi Road, Tsing Yi Island, New Territories",香港資訊科技學院,新界青衣島青衣路20A號,,,,,,,,,,,822580.96760386,829013.85790069,22.34229481,114.10645441,2026-01-21T15:31:43,829013.8579000002,822580.9675999992
22,Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Mong Kok East Campus),"14 Princess Margaret Road, Ho Man Tin, Kowloon",香港專業進修學校 (旺角東校園),九龍何文田公主道14號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,820064.35029299,836481.72059992,22.31957137,114.17899997,2026-01-21T15:31:10,836481.7205999997,820064.3502999991
23,Higher Education Institutions,高等教育院校,Hong Kong Baptist University,"Kowloon Tong, Kowloon",香港浸會大學,九龍九龍塘,,,,,,,,,,,822020,836773,22.33724416,114.1817765,2026-01-21T15:30:44,836773,822020
24,Higher Education Institutions,高等教育院校,Hong Kong Art School (a division of Hong Kong Arts Centre) (Shau Kei Wan Campus),"8 Tam Kung Temple Road, Shau Kei Wan",香港藝術學院 (香港藝術中心附屬機構) (筲箕灣校舍),筲箕灣譚公廟道8號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815976.1,841832.8,22.28265546,114.23087199,2026-01-21T15:30:21,841832.7999999998,815976.0999999996
25,Higher Education Institutions,高等教育院校,Hong Kong Art School (a division of Hong Kong Arts Centre) (Main Campus),"10/F, Hong Kong Arts Centre, 2 Harbour Road, Wanchai",香港藝術學院 (香港藝術中心附屬機構) (本部),灣仔港灣道 2 號香港藝術中心 10 樓,,,,,,,,,,,815716,835644,22.28031519,114.1708195,2026-01-21T15:30:12,835644,815716
26,Higher Education Institutions,高等教育院校,Hong Kong Art School (a division of Hong Kong Arts Centre) (Chai Wan Campus),"Room 514, 5/F Youth Square, 238 Chai Wan Road, Chai Wan",香港藝術學院 (香港藝術中心附屬機構) (柴灣校舍),柴灣道238號青年廣場5樓514室,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,813812.5,842443.9,22.26311469,114.23679343,2026-01-21T15:29:58,842443.9000000004,813812.5
27,Higher Education Institutions,高等教育院校,HKU SPACE Po Leung Kuk Stanley Ho Community College,"66 Leighton Road, Causeway Bay",香港大學專業進修學院保良局何鴻燊社區書院,銅鑼灣禮頓道66號,,,,,,,,,,,815357,837066,22.27707311,114.18461737,2026-01-21T15:29:09,837066,815357
