OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
70,Higher Education Institutions,高等教育院校,Tung Wah College,"90A & 98, Shantung Street, Mongkok, Kowloon",東華學院,九龍旺角山東街90號A及98號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819883.59841515,835875.75646236,22.31795124,114.17306729,2025-12-23T15:50:09,835875.7565000001,819883.5984000005
71,Higher Education Institutions,高等教育院校,Tung Wah College,"136A, Nathan Road, Kowloon",東華學院,九龍彌敦道136A號,,,,,,,,,,,818072.97442788,835835.564093,22.3016002,114.17267767,2025-12-23T15:49:48,835835.5641000001,818072.9744000006
72,Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (Head Office)","6/F, Railway Plaza, 39 Chatham Road South, Tsim Sha Tsui",香港中文大學專業進修學院 (總辦事處),尖沙咀漆咸道南 39 號鐵路大廈 6 樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,817731.47118297,836121.94249395,22.29851626,114.17545693,2025-01-17T16:38:49,836121.9424999999,817731.4712000005
73,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Yuen Long Learning Centre),"Shop No. 22, Ground Floor, Golden Plaza, 28 Shui Che Kwun Street, Yuen Long, New Territories",港專學院 (元朗教學中心),新界元朗水車館街28號萬金中心地下22號鋪,,,,,,,,,,,833973.66780403,821300.8840153,22.44512656,114.03147356,2024-12-04T14:06:46,821300.8839999996,833973.6677999999
74,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Tsuen Wan Learning Centre),"3/F, International Enterprise Centre 3, 18 Tai Chung Rd, Tsuen Wan, New Territories",港專學院 (荃灣教學中心),新界荃灣大涌道18號國際企業中心3期3樓,,,,,,,,,,,826105.13262279,829464.11977043,22.37412178,114.11081035,2024-12-04T14:06:33,829464.1198000005,826105.1326000001
75,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Kwun Tong Learning Centre),"Room 801 and 802, 8/F, Wong Tze Building, 71 Hoi Yuen Road, Kwun Tong, Kowloon",港專學院 (觀塘教學中心),九龍觀塘開源道71號王子大廈8樓,,,,,,,,,,,819121.29632753,841234.22779781,22.31106006,114.22507354,2024-12-04T14:06:20,841234.2278000005,819121.2962999996
76,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Jordan Learning Centre),"Room 1105, 11/F, Wing On Kowloon Centre, 345 Nathan Road, Kowloon",港專學院 (佐敦教學中心),九龍彌敦道345號永安九龍中心11樓,,,,,,,,,,,818721.88156784,835675.28440356,22.30746018,114.17112196,2024-12-04T14:06:09,835675.2844000002,818721.8816
77,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Cheung Sha Wan Learning Centre),"1/F, Heya Star, 368 Castle Peak Road, Cheung Sha Wan, Kowloon",港專學院 (長沙灣教學中心),九龍長沙灣青山道368號喜韻1樓,,,,,,,,,,,822209.23283738,834113.04371732,22.33895177,114.15595551,2024-12-04T14:05:57,834113.0437000003,822209.2327999994
78,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Jockey Club Ma On Shan Campus),"Yiu On Estate, 2 Hang Hong Street, Ma On Shan, Shatin, New Territories",港專學院 (賽馬會馬鞍山校園),新界沙田馬鞍山恒康街2號耀安邨‎,,,,,,,,,,,831341,841879,22.42140858,114.23137426,2024-12-04T13:52:12,841879,831341
79,Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Yuen Long Learning Centre),"Shop No. 22, Ground Floor, Golden Plaza, 28 Shui Che Kwun Street, Yuen Long, New Territories",香港專業進修學校 (元朗教學中心),新界元朗水車館街28號萬金中心地下22號鋪,,,,,,,,,,,833974.26496832,821299.68968673,22.44513194,114.03146195,2024-12-04T13:51:42,821299.6897,833974.2650000006
80,Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Tsuen Wan Learning Centre),"3/F, International Enterprise Centre 3, 18 Tai Chung Rd, Tsuen Wan, New Territories",香港專業進修學校 (荃灣教學中心),新界荃灣大涌道18號國際企業中心3期3樓,,,,,,,,,,,826100.35530853,829465.314099,22.37407864,114.11082196,2024-12-04T13:51:29,829465.3141000001,826100.3552999999
81,Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Kwun Tong Learning Centre),"Room 801 and 802, 8/F, Wong Tze Building, 71 Hoi Yuen Road, Kwun Tong, Kowloon",香港專業進修學校 (觀塘教學中心),九龍觀塘開源道71號王子大廈8樓,,,,,,,,,,,819122.19207393,841231.83914067,22.31106816,114.22505036,2024-12-04T13:51:15,841231.8391000004,819122.1920999996
82,Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Jordan Learning Centre),"Room 1105, 11/F, Wing On Kowloon Centre, 345 Nathan Road, Kowloon",香港專業進修學校 (佐敦教學中心),九龍彌敦道345號永安九龍中心11樓,,,,,,,,,,,818724.48066114,835680.59996145,22.30748365,114.17117355,2024-12-04T13:51:00,835680.5999999996,818724.4806999993
83,Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Cheung Sha Wan Learning Centre),"1/F, Heya Star, 368 Castle Peak Road, Cheung Sha Wan, Kowloon",香港專業進修學校 (長沙灣教學中心),九龍長沙灣青山道368號喜韻1樓,,,,,,,,,,,822209.23283739,834114.23804588,22.33895178,114.1559671,2024-12-04T13:50:48,834114.2379999999,822209.2327999994
84,Higher Education Institutions,高等教育院校,Hong Kong Baptist University - School of Continuing Education (Shek Mun (Shatin) Campus),"8 On Muk Street, Shek Mun, Shatin",香港浸會大學持續教育學院 (石門校園),新界沙田石門安睦街八號,,,,,,,,,,,827604.01497431,839695.03685712,22.38766751,114.2101533,2024-11-28T15:48:38,839695.0368999997,827604.0150000006
85,Higher Education Institutions,高等教育院校,Hong Kong Institute of Information Technology at Hong Kong Institute of Vocational Education (Kwun Tong),"25 Hiu Ming Street, Kwun Tong, Kowloon",香港資訊科技學院位於香港專業教育學院(觀塘)校舍,九龍觀塘曉明街25號,,,,,,,,,,,819374.19540156,841946.64478799,22.31334169,114.23198872,2024-06-06T17:02:30,841946.6447999999,819374.1953999996
86,Higher Education Institutions,高等教育院校,Hong Kong Institute of Information Technology at Hong Kong Institute of Vocational Education (Lee Wai Lee),"3 King Ling Road, Tseung Kwan O, New Territories",香港資訊科技學院位於香港專業教育學院(李惠利)校舍,新界將軍澳景嶺路3號,,,,,,,,,,,818583.40247671,844231.07155951,22.3061913,114.25415639,2024-06-06T17:02:19,844231.0716000004,818583.4024999999
87,Higher Education Institutions,高等教育院校,Hong Kong Institute of Information Technology at Hong Kong Institute of Vocational Education (Sha Tin),"21 Yuen Wo Road, Sha Tin, New Territories",香港資訊科技學院位於香港專業教育學院(沙田)校舍,新界沙田源禾路21號,,,,,,,,,,,827903.49286248,838453.83089393,22.39037399,114.19810073,2024-06-06T17:02:02,838453.8309000004,827903.4929000009
88,Higher Education Institutions,高等教育院校,Hong Kong Institute of Information Technology at Hong Kong Institute of Vocational Education (Tuen Mun),"18 Tsing Wun Road, Tuen Mun, New Territories",香港資訊科技學院位於香港專業教育學院(屯門)校舍,新界屯門青雲路18號,,,,,,,,,,,828268.65882182,814602.18635855,22.39353621,113.96647571,2024-06-06T17:01:44,814602.1864,828268.6588000003
89,Higher Education Institutions,高等教育院校,Saint Francis University,"2 Chui Ling Lane, Tseung Kwan O, New Territories.",聖方濟各大學,新界將軍澳翠嶺里2號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818285.77314269,843915.49374266,22.30350496,114.25109227,2024-02-22T11:05:49,843915.4937000005,818285.7730999999
90,Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Jockey Club Undergraduate Campus),"2 On Shing Street, Ma On Shan, Shatin, N.T.",香港專業進修學校 (賽馬會本科校園),新界沙田馬鞍山鞍誠街2號,,,,,,,,,,,831503,841818,22.42287172,114.23078233,2024-02-19T16:49:20,841818,831503
91,Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Jockey Club Undergraduate Campus),"2 On Shing Street, Ma On Shan, N.T.",港專學院 (賽馬會本科校園),新界沙田馬鞍山鞍誠街2號,,,,,,,,,,,831503,841818,22.42287172,114.23078233,2024-02-19T16:48:41,841818,831503
92,Higher Education Institutions,高等教育院校,HKU SPACE Community College (CITA Learning Centre),"63 Tai Yip Street, Kowloon Bay, Kowloon ",香港大學附屬學院 (製衣業訓練局教學中心),九龍九龍灣大業街63號 ,,,,,,,,,,,820123,839975,22.32010922,114.21285456,2024-02-19T16:48:28,839975,820123
93,Higher Education Institutions,高等教育院校,Hong Kong Chu Hai College,"80 Castle Peak Road, Castle Peak Bay, Tuen Mun, N.T",香港珠海學院,新界屯門青山公路青山灣段 80 號,,,,,,,,,,,826293,816720,22.37572052,113.9870661,2024-02-19T16:48:00,816720,826293
94,Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University (The Jockey Club Campus),"81 Chung Hau Street, Ho Man Tin, Kowloon",香港都會大學 (賽馬會校園),九龍何文田忠孝街81號,,,,,,,,,,,819631,836403,22.31567016,114.17818462,2024-02-19T16:45:43,836403,819631
95,Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (Tseung Kwan O Learning Centre)","Tsui Lam Estate, Tseung Kwan O",香港中文大學專業進修學院 (將軍澳教學中心),將軍澳翠林邨,,,,,,,,,,,820447,843586,22.32302355,114.24790446,2024-02-19T16:45:11,843586,820447
96,Higher Education Institutions,高等教育院校,City University of Hong Kong,"Tat Chee Avenue, Kowloon",香港城市大學,九龍達之路,,,,,,,,,,,821912,835879,22.33626889,114.17309828,2024-02-19T16:44:11,835879,821912
97,Higher Education Institutions,高等教育院校,Hong Kong Academy for Performing Arts,"1 Gloucester Road,Wanchai",香港演藝學院,香港灣仔告士打道一號,,,,,,,,,,,815664,835536,22.27984555,114.16977157,2024-02-19T16:44:00,835536,815664
98,Higher Education Institutions,高等教育院校,The Hong Kong University of Science and Technology,"Clear Water Bay, Kowloon",香港科技大學,香港九龍清水灣,,,,,,,,,,,822013,845199,22.33715781,114.26356932,2024-02-19T16:43:29,845199,822013
99,Higher Education Institutions,高等教育院校,Lingnan University,"8 Castle Peak Road, Tuen Mun, NT.",嶺南大學,新界屯門青山公路八號,,,,,,,,,,,830130.2000000001,816326.9,22.41036798,113.9832012,2023-07-26T10:01:08,816326.9000000004,830130.1999999993
100,Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education (Kwai Hing Campus),"8/F-11/F, Tower 2, Kowloon Commerce Centre ,51-53 Kwai Cheong Road,Kwai Chung, N.T.",香港都會大學 - 李嘉誠專業進修學院 (葵興校園),新界葵涌葵昌路51-53號九龍貿易中心第2座8-11樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,824786.2000000001,831733.8,22.3622189,114.13285213,2023-07-26T09:55:38,831733.7999999998,824786.1999999993
101,Higher Education Institutions,高等教育院校,Hong Kong Design Institute,"3 King Ling Road, Tseung Kwan O, New Territories",香港知專設計學院,新界將軍澳景嶺路3號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818556.8,844167.7000000001,22.30595165,114.25354124,2023-07-25T09:35:49,844167.7000000002,818556.8000000007
102,Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University - School of Professional Education and Executive Development (West Kowloon Campus),"9 Hoi Ting Road, Yau Ma Tei, Kowloon",香港理工大學 - 專業進修學院 (西九龍校園),九龍油麻地海庭道9號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819294.39743331,835062.75966293,22.31263003,114.16517689,2023-07-25T09:33:18,835062.7597000003,819294.3973999992
103,Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University - Hong Kong Community College (West Kowloon Campus),"9 Hoi Ting Road, Yau Ma Tei, Kowloon",香港理工大學 - 香港專上學院 (西九龍校園),九龍油麻地海庭道9號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819318.2000000001,835063.4,22.31284527,114.16518309,2023-07-25T09:32:45,835063.4000000004,819318.1999999993
104,Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University - Li Ka Shing School of Professional and Continuing Education (Lai King Campus),"201-203, Lai King Hill Road, Kwai Chung",香港都會大學 - 李嘉誠專業進修學院 (荔景校園),葵涌荔景山路201-203號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,823096.1,831112.2000000001,22.34695461,114.12682251,2023-07-25T09:29:44,831112.2000000002,823096.0999999996
105,Higher Education Institutions,高等教育院校,Hong Kong Shue Yan University,"10 Wai Tsui Crescent, Braemar Hill Road, North Point",香港樹仁大學,北角寶馬山慧翠道10號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,816381.50659493,838416.20954403,22.2863239,114.19771989,2023-07-24T14:17:45,838416.2094999999,816381.5066
106,Higher Education Institutions,高等教育院校,Caritas Bianchi College of Careers,"18 Chui Ling Road, Tseung Kwan O, New Territories",明愛白英奇專業學校,新界將軍澳調景嶺翠嶺路18號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818239.88184512,843854.88325581,22.30307382,114.25046614,2023-07-24T14:17:30,843854.8832999999,818239.8817999996
107,Higher Education Institutions,高等教育院校,Hong Kong Adventist College,1111 Clear Water Bay Road Sai Kung NT,香港三育書院,新界西貢清水灣道1111號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818706.21451538,847574.92686922,22.30728165,114.28660952,2023-07-24T14:17:14,847574.9269000003,818706.2145000007
108,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Tuen Mun),"18 Tsing Wun Road, Tuen Mun, New Territories",香港專業教育學院 (屯門),新界屯門青雲路18號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,828270.5,814595.1,22.39355304,113.96640687,2023-07-24T14:16:36,814595.0999999996,828270.5
109,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Sha Tin),"21 Yuen Wo Road, Sha Tin, New Territories",香港專業教育學院 (沙田),新界沙田源禾路21號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,827943.5,838419.9,22.39073561,114.19777129,2023-07-24T14:16:18,838419.9000000004,827943.5
110,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Lee Wai Lee),"3 King Ling Road, Tseung Kwan O, New Territories",香港專業教育學院 (李惠利),新界將軍澳景嶺路3號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818604,844220.6,22.30637765,114.25405487,2023-07-24T14:15:39,844220.5999999996,818604
111,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Kwun Tong),"25 Hiu Ming Street, Kwun Tong, Kowloon",香港專業教育學院 (觀塘),九龍觀塘曉明街25號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819396.4,841936,22.31354254,114.23188549,2023-07-24T14:15:26,841936,819396.4000000004
112,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Kwai Chung),"20 Hing Shing Road, Kwai Chung, New Territories",香港專業教育學院 (葵涌),新界葵涌興盛路20號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,824757,831156.5,22.36195358,114.12724726,2023-07-24T14:15:11,831156.5,824757
113,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Haking Wong),"702 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",香港專業教育學院 (黃克競),九龍長沙灣荔枝角道702號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821814.2000000001,833781.3,22.33538425,114.15273578,2023-07-24T14:14:36,833781.2999999998,821814.1999999993
114,Higher Education Institutions,高等教育院校,YMCA College of Careers,"23 Waterloo Road, Kowloon",青年會專業書院,九龍窩打老道23號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819427.5,835700.6,22.31383264,114.17136741,2023-07-24T14:08:20,835700.5999999996,819427.5
115,Higher Education Institutions,高等教育院校,Technological and Higher Education Institute of Hong Kong (Tsing Yi Campus),"20A, Tsing Yi Road Tsing Yi Island New Territories",香港高等教育科技學院 (青衣校園),香港新界青衣島青衣路20A號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822475.8,829034.8,22.34134547,114.10665818,2023-07-24T14:01:38,829034.7999999998,822475.8000000007
116,Higher Education Institutions,高等教育院校,Hong Kong Institute of Vocational Education (Tsing Yi),"20 Tsing Yi Road, Tsing Yi Island, New Territories",香港專業教育學院 (青衣),新界青衣島青衣路20號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,822630,828961.6,22.342737669999998,114.10594689,2023-07-24T14:00:04,828961.5999999996,822630
117,Higher Education Institutions,高等教育院校,Hong Kong Metropolitan University - The Jockey Club Institute of Healthcare,"1 Sheung Shing Street, Ho Man Tin, Kowloon",香港都會大學 - 賽馬會健康護理學院,九龍何文田常盛街1號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,819818.18704631,836568.88183307,22.31736055,114.17979466,2023-07-24T12:30:38,836568.8817999996,819818.1870000008
118,Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Jockey Club Ma On Shan Campus),"Yiu On Estate, 2 Hang Hong Street, Ma On Shan, Shatin, New Territories",香港專業進修學校 (賽馬會馬鞍山校園),新界沙田馬鞍山恒康街2號耀安邨‎,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,831357.8,841877.5,22.42156059,114.23135976,2023-07-24T12:27:38,841877.5,831357.8000000007
119,Higher Education Institutions,高等教育院校,Hong Kong Institute of Technology,"213 Nam Cheong Street, Sham Shui Po, Kowloon",香港科技專上書院,九龍深水埗南昌街213號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821432.6,835095.4,22.33193957,114.16549213,2023-07-24T12:22:02,835095.4000000004,821432.5999999996
120,Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (Oriental Learning Centre)","8/F, 13/F, 14/F and 17/F, Oriental Centre, 67 Chatham Road South, Tsim Sha Tsui",香港中文大學專業進修學院 (安年教學中心),尖沙咀漆咸道南 67 號安年大廈 8樓、13 樓、14樓及17樓,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,817909.2000000001,836152.3,22.30012156,114.17575153,2023-07-24T12:12:09,836152.2999999998,817909.1999999993
121,Higher Education Institutions,高等教育院校,"School of Continuing and Professional Studies, The Chinese University of Hong Kong (Central Learning Centre)","Unit A, 1/F, Bank of America Tower, 12 Harcourt Road, Central",香港中文大學專業進修學院 (中環教學中心),中環夏愨道 12 號美國銀行中心 1 樓 A,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,815776.9,834833.8,22.28086496,114.16295786,2023-07-24T12:10:41,834833.7999999998,815776.9000000004
122,Higher Education Institutions,高等教育院校,HKU SPACE Community College (Kowloon West Campus),"NCB Innovation Centre, 888 Lai Chi Kok Road, Cheung Sha Wan, Kowloon",香港大學附屬學院 (九龍西分校),九龍長沙灣荔枝角道888號南商金融創新中心,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,821829.349874,833078.96663934,22.33551961,114.14591815,2023-07-24T12:02:11,833078.9665999999,821829.3498999998
